time|phrase|quote|title|author|ampm|score|keep
00:00|midnight|In addition to the formal evening and dinner parties, a large company, chiefly of men, gathered there every day, supping at midnight and staying till three in the morning.|War and Peace|graf Leo Tolstoy|explicit|5.0|
00:00|midnight|At midnight dancing was still going on. Hélène, not having a suitable partner, herself offered to dance the mazurka with Borís.|War and Peace|graf Leo Tolstoy|explicit|5.0|
00:00|midnight|Toward midnight the voices began to subside, a cock crowed, the full moon began to show from behind the lime trees, a fresh white dewy mist began to rise, and stillness reigned over the village and the house.|War and Peace|graf Leo Tolstoy|explicit|5.0|
00:00|midnight|After supper he lay down on a sofa without undressing, and was awakened soon after midnight by a courier bringing him a letter from Kutúzov.|War and Peace|graf Leo Tolstoy|explicit|5.0|
00:00|midnight|Toward midnight Bolkhovítinov, having received the dispatch and verbal instructions, galloped off to the General Staff accompanied by a Cossack with spare horses.|War and Peace|graf Leo Tolstoy|explicit|5.0|
00:00|twelve o'clock|Going a long way round by Gazetny Place and Kislovka, he went back again to the hotel, and putting his watch before him, he sat down to wait for twelve o'clock.|Anna Karenina|graf Leo Tolstoy|am-cue|5.0|
00:00|midnight|Would you believe, Porfiry, as soon as our backs were turned, he dressed, though he could hardly stand, and gave us the slip and went off on a spree somewhere till midnight, delirious all the time!|Crime and Punishment|Fyodor Dostoyevsky|explicit|5.0|
00:00|midnight|The logical connection of the present with his immediate departure and the absolute necessity of visiting them for that purpose in pouring rain at midnight was not made clear.|Crime and Punishment|Fyodor Dostoyevsky|explicit|5.0|
00:00|midnight|Only remember you must go to Katerina Ivanovna to-day, if it has to be at midnight, with the money or without the money, and say, 'He sends his compliments to you.'|The Brothers Karamazov|Fyodor Dostoyevsky|explicit|5.0|
00:00|midnight|You look out for her,' says he, 'till midnight and later; and if she does come, you run up and knock at my door or at the window from the garden.|The Brothers Karamazov|Fyodor Dostoyevsky|explicit|5.0|
00:00|midnight|He was fretted, too, by all sorts of strange and almost surprising desires; for instance, after midnight he suddenly had an intense irresistible inclination to go down, open the door, go to the lodge and beat Smerdyakov.|The Brothers Karamazov|Fyodor Dostoyevsky|explicit|5.0|
00:00|midnight|Then Fyodor Pavlovitch in his jeering way would go telling the story all over the town, how a stranger, called Perhotin, had broken in upon him at midnight to ask if any one had killed him.|The Brothers Karamazov|Fyodor Dostoyevsky|explicit|5.0|
00:00|midnight|Attired in another man's dress suit and a stiff white tie which kept sawing at his neck and trying to slip away from the collar, he was sitting at midnight in the club drawing-room, and was saying with enthusiasm to Ekaterina Ivanovna.|The Lady with the Dog and Other Stories|Anton Pavlovich Chekhov|explicit|5.0|
00:00|midnight|Then they had tea in the study, and Zinaida Fyodorovna read aloud some letters. Soon after midnight they went to bed.|The Lady with the Dog and Other Stories|Anton Pavlovich Chekhov|explicit|5.0|
00:00|midnight|At midnight when the people on the floor overhead were moving their chairs and shouting hurrah to welcome the New Year, Zinaida Fyodorovna rang for me from the room next to the study.|The Lady with the Dog and Other Stories|Anton Pavlovich Chekhov|explicit|5.0|
00:00|midnight|Suppose now, he should tumble in upon me at midnight - how could I tell from what vile hole he had been coming?|Moby Dick; Or, The Whale|Herman Melville|explicit|5.0|
00:00|midnight|About midnight that steak was cut and cooked; and lighted by two lanterns of sperm oil, Stubb stoutly stood up to his spermaceti supper at the capstan-head, as if that capstan were a sideboard.|Moby Dick; Or, The Whale|Herman Melville|explicit|5.0|
00:00|midnight|By midnight the works were in full operation. We were clear from the carcase; sail had been made; the wind was freshening; the wild ocean darkness was intense.|Moby Dick; Or, The Whale|Herman Melville|explicit|5.0|
00:00|midnight|Yet, oh, the great sun is no fixture; and if, at midnight, we would fain snatch some sweet solace from him, we gaze for him in vain!|Moby Dick; Or, The Whale|Herman Melville|explicit|5.0|
00:00|midnight|I boarded her once at midnight somewhere off the Patagonian coast, and drank good flip down in the forecastle.|Moby Dick; Or, The Whale|Herman Melville|explicit|5.0|
00:00|midnight|The judge gave him some, and that evening he got drunk, and was around till after midnight with a couple of mighty hard-looking strangers, and then went off with them.|Adventures of Huckleberry Finn|Mark Twain|explicit|5.0|
00:00|midnight|The fifth night below St. Louis we had a big storm after midnight, with a power of thunder and lightning, and the rain poured down in a solid sheet.|Adventures of Huckleberry Finn|Mark Twain|explicit|5.0|
00:00|midnight|After midnight the people on shore went to bed, and then for two or three hours the shores was black - no more sparks in the cabin windows.|Adventures of Huckleberry Finn|Mark Twain|explicit|5.0|
00:00|midnight|When me and the king and the duke got home to the raft we all had a supper; and by-and-by, about midnight, they made Jim and me back her out and float her down the middle of the river, and fetch her in and hide her about two mile below town.|Adventures of Huckleberry Finn|Mark Twain|explicit|5.0|
00:00|midnight|They will sneak down from northards, along the fence, at midnight exact, with a false key, and go in the nigger's cabin to get him.|Adventures of Huckleberry Finn|Mark Twain|explicit|5.0|
00:00|midnight|About midnight Tom arrived with a boiled ham and a few trifles, and stopped in a dense undergrowth on a small bluff overlooking the meeting-place.|The Adventures of Tom Sawyer, Complete|Mark Twain|explicit|5.0|
00:00|midnight|About midnight Joe awoke, and called the boys. There was a brooding oppressiveness in the air that seemed to bode something.|The Adventures of Tom Sawyer, Complete|Mark Twain|explicit|5.0|
00:00|midnight|By midnight everybody was fagged out, and sore with laughing; and, as a rule, drunk: some weepingly, some affectionately, some hilariously, some quarrelsomely, some dead and under the table.|A Connecticut Yankee in King Arthur's Court|Mark Twain|explicit|5.0|
00:00|midnight|They got their supper and a nap, and about midnight we sallied out through a solitude so wholly vacant and complete that it quite overpassed the required conditions.|A Connecticut Yankee in King Arthur's Court|Mark Twain|explicit|5.0|
00:00|midnight|Before the noon mass was over, we were at the well again; for there was a deal to do yet, and I was determined to spring the miracle before midnight, for business reasons: for whereas a miracle worked for the Church on a week-day is worth a good deal, it is worth six times as much if you get it in on a Sunday.|A Connecticut Yankee in King Arthur's Court|Mark Twain|explicit|5.0|
00:00|midnight|So we had to stop at last and slump down in the snow where we were. The storm continued until toward midnight, then ceased.|A Connecticut Yankee in King Arthur's Court|Mark Twain|explicit|5.0|
00:00|midnight|About midnight I awoke, and saw that hag making curious passes in the air about The Boss's head and face, and wondered what it meant.|A Connecticut Yankee in King Arthur's Court|Mark Twain|explicit|5.0|
00:00|midnight|By midnight the revelry was at its height. Now came one of those picturesque spectacles so admired in that old day.|The Prince and the Pauper|Mark Twain|explicit|5.0|
00:00|midnight|At last, a while after midnight, a man attacked a woman and nearly killed her by beating her over the head with his manacles before the jailer could come to the rescue.|The Prince and the Pauper|Mark Twain|explicit|5.0|
00:00|midnight|At midnight of the 19th of February, Tom Canty was sinking to sleep in his rich bed in the palace, guarded by his loyal vassals, and surrounded by the pomps of royalty, a happy boy; for tomorrow was the day appointed for his solemn crowning as King of England.|The Prince and the Pauper|Mark Twain|explicit|5.0|
00:00|midnight|Old Matthew Maule, especially, was known to have as little hesitation or difficulty in rising out of his grave as an ordinary man in getting out of bed, and was as often seen at midnight as living people at noonday.|The House of the Seven Gables|Nathaniel Hawthorne|explicit|5.0|
00:00|midnight|Clifford would turn his face to the pillow, and cover his head beneath the bedclothes, like a startled child at midnight.|The House of the Seven Gables|Nathaniel Hawthorne|explicit|5.0|
00:00|midnight|What sense, meaning, or moral, for example, such as even ghost-stories should be susceptible of, can be traced in the ridiculous legend, that, at midnight, all the dead Pyncheons are bound to assemble in this parlor?|The House of the Seven Gables|Nathaniel Hawthorne|explicit|5.0|
00:00|midnight|He had by dint of cudgelling his brains just thought of the Southampton - St Malo service. The boat left about midnight.|The Secret Agent: A Simple Tale|Joseph Conrad|explicit|5.0|
00:00|midnight|A boat-load of Chinamen, bound, as likely as not, on some thieving expedition, fished out the officer of the King of Siam, and Jim turned up at about midnight on board my ship without a hat.|Lord Jim|Joseph Conrad|explicit|5.0|
00:00|midnight|The doctor had been in to say that some change, for better or worse, would probably take place about midnight, at which time he would return.|Little Women|Louisa May Alcott|explicit|5.0|
00:00|midnight|It was then past midnight. The cottages were all dark. A single faint light gleamed out from the hallway of the house.|The Awakening, and Selected Short Stories|Kate Chopin|explicit|5.0|
00:00|midnight|For nearly a quarter of a century, in another section of the city, Fleischmann, the baker, had given a loaf of bread to any one who would come for it to the side door of his restaurant at the corner of Broadway and Tenth Street, at midnight.|Sister Carrie: A Novel|Theodore Dreiser|explicit|5.0|
00:00|midnight|There in the stillness that settled over the flat in the half hour after midnight the two old people "kept company," enjoying after their fashion their little romance that had come so late into the lives of each.|McTeague: A Story of San Francisco|Frank Norris|explicit|5.0|
00:00|twelve o'clock|She spent the morning between nine and twelve o'clock down town, for the most part in the cheap department stores, doing the weekly shopping for herself and the family.|McTeague: A Story of San Francisco|Frank Norris|am-cue|5.0|
